index,id,name,track_number,uri,album,year,duration_s,acousticness,danceability,energy,key,tempo,time_signature,valence,mode
0,2hmHlBM0kPBm17Y7nVIW9f,My Propeller,1,spotify:track:2hmHlBM0kPBm17Y7nVIW9f,Humbug,2009,205.74667,0.052,0.415,0.657,9.0,115.752,4.0,0.69,0.0
1,6wVWJl64yoTzU27EI8ep20,Crying Lightning,2,spotify:track:6wVWJl64yoTzU27EI8ep20,Humbug,2009,224.82667,0.0148,0.498,0.885,4.0,106.719,4.0,0.67,0.0
2,0pdp3VrR4WQaswf0GyT0Y0,Dangerous Animals,3,spotify:track:0pdp3VrR4WQaswf0GyT0Y0,Humbug,2009,210.66667,0.0129,0.34,0.922,3.0,125.363,4.0,0.532,1.0
3,4dtP86vkhzwNXCFpCtizce,Secret Door,4,spotify:track:4dtP86vkhzwNXCFpCtizce,Humbug,2009,223.06667,0.0314,0.323,0.806,7.0,124.615,4.0,0.548,0.0
4,3RHHXwyRtskFx87sX80xEy,Potion Approaching,5,spotify:track:3RHHXwyRtskFx87sX80xEy,Humbug,2009,212.13333,0.0062,0.421,0.758,4.0,103.659,4.0,0.767,0.0
5,6EMhO2CuQZ3u7ZKDRuf560,Fire And The Thud,6,spotify:track:6EMhO2CuQZ3u7ZKDRuf560,Humbug,2009,237.53333,0.165,0.566,0.61,2.0,114.904,4.0,0.406,1.0
6,5bsnLiT00hG37qd8p2jdVl,Cornerstone,7,spotify:track:5bsnLiT00hG37qd8p2jdVl,Humbug,2009,197.97333,0.00764,0.287,0.721,9.0,169.252,4.0,0.763,1.0
7,3u16Clmxz7dJpnQWXXynok,Dance Little Liar,8,spotify:track:3u16Clmxz7dJpnQWXXynok,Humbug,2009,283.49333,0.0586,0.538,0.607,1.0,100.158,4.0,0.543,0.0
8,45n7uujqwmMyBMjBu9SwRu,Pretty Visitors,9,spotify:track:45n7uujqwmMyBMjBu9SwRu,Humbug,2009,220.50667,0.0614,0.244,0.896,6.0,83.354,4.0,0.142,0.0
9,4PDPn7HosIycoXeoeibFc5,The Jeweller's Hands,10,spotify:track:4PDPn7HosIycoXeoeibFc5,Humbug,2009,344.05333,0.137,0.51,0.8,0.0,96.935,4.0,0.391,0.0
0,3rq5w4bQGigXOfdN30ATJt,Do I Wanna Know?,1,spotify:track:3rq5w4bQGigXOfdN30ATJt,AM,2013,272.3941,0.186,0.55,0.537,5.0,85.014,4.0,0.432,1.0
1,29tzJGvqJPTAFs6LXmsHoA,R U Mine?,2,spotify:track:29tzJGvqJPTAFs6LXmsHoA,AM,2013,201.72639,0.00541,0.492,0.776,6.0,96.98,4.0,0.607,0.0
2,0OTvJXmQPv7SKavoV6td75,One For The Road,3,spotify:track:0OTvJXmQPv7SKavoV6td75,AM,2013,206.05161,0.228,0.406,0.679,0.0,180.245,4.0,0.845,1.0
3,4FSm0Ca6Hzd7Vx7TpSfcSy,Arabella,4,spotify:track:4FSm0Ca6Hzd7Vx7TpSfcSy,AM,2013,207.35664,0.0198,0.579,0.577,2.0,180.045,4.0,0.453,1.0
4,15ssS4mEVrTkQyZ7evJUQD,I Want It All,5,spotify:track:15ssS4mEVrTkQyZ7evJUQD,AM,2013,185.40612,0.000668,0.504,0.821,5.0,131.008,4.0,0.302,1.0
5,6xOGRfEr41CdiSc3ifLels,No. 1 Party Anthem,6,spotify:track:6xOGRfEr41CdiSc3ifLels,AM,2013,243.13188,0.358,0.509,0.685,7.0,114.959,4.0,0.594,1.0
6,05eWvAS5Cxy4sHjlIDofyB,Mad Sounds,7,spotify:track:05eWvAS5Cxy4sHjlIDofyB,AM,2013,215.01156,0.291,0.53,0.476,5.0,80.018,4.0,0.453,1.0
7,2qH2scqyN6z1OB8dK0Y95y,Fireside,8,spotify:track:2qH2scqyN6z1OB8dK0Y95y,AM,2013,181.04907,0.0179,0.534,0.95,5.0,100.012,4.0,0.684,1.0
8,48q0vSHcJdhK3IiXH8C5WJ,Why'd You Only Call Me When You're High?,9,spotify:track:48q0vSHcJdhK3IiXH8C5WJ,AM,2013,161.1239,0.0383,0.691,0.64,2.0,92.03,4.0,0.785,1.0
9,7DVNEcKN7bE50N6xQ74mh2,Snap Out Of It,10,spotify:track:7DVNEcKN7bE50N6xQ74mh2,AM,2013,193.03007,0.257,0.73,0.625,5.0,130.039,4.0,0.895,0.0
10,56fZFRtOSMIMyVh0ZIF0AT,Knee Socks,11,spotify:track:56fZFRtOSMIMyVh0ZIF0AT,AM,2013,257.56345,0.124,0.665,0.542,11.0,97.978,4.0,0.592,0.0
